№,Символ,,,,,,,,,,,,,,,,,K,L,,M,,,N,,,,O,,,,P,,,Q,Металлы,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s,s,p,s,p,d,s,p,d,f,s,p,d,f,s,p,d,s,,,,,,,,,,,,,,,,,,
,,Название,Латинское название,Как читается,Спектр,"
Период","
Группа","Атомная масса
(г/моль)","Плотность,
г/см³
(при 20 °C)","Температура 
плавления
(°C)","Температура 
кипения 
(°C)","Удельное 
электрическое 
сопротивление","Электрическая 
проводимость","Магнитная 
проницаемость",p,n,e,1,2,,3,,,4,,,,5,,,,6,,,7,Металлы,Щелочные,Щелочноземельные,Переходные,Парамагнетики,Ферримагнетики,Ферромагнетики,Лантаноиды,Актиноиды,Диамагнетики,Полуметаллы,Неметаллы,Антиферромагнетики,Пниктогены,Халькогены,Галогены,Инертный газ,Редкоземельные
86,Rn,Радон,Radon,Радон,,6,18,"222,0176","9,23 г/л",-71,"-61,8",,,,86,136,86,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
87,Fr,Франций,Francium,Франций,,7,1,"223,0197","1,87",27,677,,,,87,136,87,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Ra,Радий,Radium,Радий,,7,2,"226,0254","5,50",700,1140,,,,88,138,88,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Ac,Актиний,Actinium,Актиний,,7,7,"227,0278","10,07",1047,3197,,,,89,138,89,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,Th,Торий,Thorium,Торий,,7,7,"232,03806","11,72",1750,4787,,,,90,142,90,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,Pa,Протактиний,Protactinium,Протактиний,,7,7,"231,03588","15,37",1554,4030,,,,91,140,91,2,2,6,2,6,10,2,6,10,14,2,6,10,2,2,6,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
92,U,Уран,Uranium,Уран,,7,7,"238,02891","18,97","1132,4",3818,,,,92,146,92,2,2,6,2,6,10,2,6,10,14,2,6,10,3,2,6,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
93,Np,Нептуний,Neptunium,Нептуний,,7,7,"237,0482","20,48",640,3902,,,,93,144,93,2,2,6,2,6,10,2,6,10,14,2,6,10,4,2,6,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,Pu,Плутоний,Plutonium,Плутоний,,7,7,"244,0642","19,74",641,3327,,,,94,150,94,2,2,6,2,6,10,2,6,10,14,2,6,10,5,2,6,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
95,Am,Америций,Americium,Америций,,7,7,"243,0614","13,67",994,2607,,,,95,148,95,2,2,6,2,6,10,2,6,10,14,2,6,10,6,2,6,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,Cm,Кюрий,Curium,Кюрий,,7,7,"247,0703","13,51",1340,,,,,96,151,96,2,2,6,2,6,10,2,6,10,14,2,6,10,7,2,6,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,Bk,Берклий,Berkelium,Берклий,,7,7,"247,0703","13,25",986,,,,,97,150,97,2,2,6,2,6,10,2,6,10,14,2,6,10,7,2,6,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,Cf,Калифорний,Californium,Калифорний,,7,7,"251,0796","15,1",900,,,,,98,153,98,2,2,6,2,6,10,2,6,10,14,2,6,10,8,2,6,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
